gene	divergence	chrom	start
BAIAP3	0.0	NC_071453.1	1327190
BANF2	0.0	NC_071446.1	22679267
BANK1	0.0	NC_071444.1	91447204
BANP	0.0	NC_071461.1	42362147
BAP1	0.0	NC_071456.1	28699117
BARD1	0.0	NC_071447.1	133013534
BARHL2	0.0	NC_071448.1	125451785
BARX2	0.0	NC_071452.1	26910297
BAZ1A	0.0	NC_071451.1	65174974
BAZ2A	0.0	NC_071450.1	59449213
BAZ2B	0.0	NC_071447.1	67224721
BBOF1	0.0	NC_071451.1	104893237
BBS10	0.000495704	NC_071450.1	75410004
BBS2	0.0	NC_071461.1	11017633
BBS5	0.0	NC_071447.1	56831257
BBS9	3.885456521739131e-05	NC_071449.1	1237196
BBX	0.0	NC_071456.1	92769749
BCAN	0.0006056942307692307	NC_071459.1	10619401
BCAR1	0.0	NC_071461.1	29257893
BCAR3	6.76133e-05	NC_071448.1	128727805
BCAS1	0.0	NC_071446.1	47173099
BCAS4	0.0	NC_071446.1	44167295
BCAT1	0.000769379	NC_071450.1	42912547
BCCIP	0.000413565	NC_071453.1	115792116
BCKDHB	0.0	NC_071445.1	81859210
BCKDK	0.0003736916666666667	NC_071453.1	28419171
BCL11B	0.0005294822499999999	NC_071451.1	129970847
